time,S1,S2,S3,S4
0,1e-015,0,3.9443e-031,-7.77054e-032
0.2,8.69358e-016,1.24177e-016,6.04635e-018,4.18278e-019
0.4,7.55784e-016,2.20315e-016,2.08993e-017,3.00247e-018
0.6,6.57047e-016,2.932e-016,4.06511e-017,9.10214e-018
0.8,5.71209e-016,3.46888e-016,6.25015e-017,1.9401e-017
1,4.96585e-016,3.84809e-016,8.44951e-017,3.41109e-017
1.2,4.31711e-016,4.09854e-016,1.05316e-016,5.31197e-017
1.4,3.75311e-016,4.2446e-016,1.24127e-016,7.61024e-017
1.6,3.2628e-016,4.30672e-016,1.40444e-016,1.02604e-016
1.8,2.83654e-016,4.30205e-016,1.54043e-016,1.32099e-016
2,2.46597e-016,4.24489e-016,1.64878e-016,1.64036e-016
2.2,2.14381e-016,4.14715e-016,1.73033e-016,1.97871e-016
2.4,1.86374e-016,4.01871e-016,1.78673e-016,2.33082e-016
2.6,1.62026e-016,3.86771e-016,1.82016e-016,2.69187e-016
2.8,1.40858e-016,3.70085e-016,1.83305e-016,3.05751e-016
3,1.22456e-016,3.52358e-016,1.82796e-016,3.42389e-016
3.2,1.06459e-016,3.34033e-016,1.80742e-016,3.78767e-016
3.4,9.25506e-017,3.15465e-016,1.77385e-016,4.14599e-016
3.6,8.04596e-017,2.96937e-016,1.72954e-016,4.49649e-016
3.8,6.99482e-017,2.78671e-016,1.67657e-016,4.83723e-016
4,6.08101e-017,2.60838e-016,1.61685e-016,5.16667e-016
4.2,5.28657e-017,2.43567e-016,1.55204e-016,5.48363e-016
4.4,4.59593e-017,2.26954e-016,1.48363e-016,5.78725e-016
4.6,3.99551e-017,2.11063e-016,1.41289e-016,6.07693e-016
4.8,3.47353e-017,1.95939e-016,1.34093e-016,6.35232e-016
5,3.01974e-017,1.81607e-016,1.26868e-016,6.61328e-016
5.2,2.62523e-017,1.68074e-016,1.19691e-016,6.85983e-016
5.4,2.28227e-017,1.5534e-016,1.12626e-016,7.09212e-016
5.6,1.98411e-017,1.43391e-016,1.05724e-016,7.31044e-016
5.8,1.7249e-017,1.3221e-016,9.90263e-017,7.51515e-016
6,1.49956e-017,1.2177e-016,9.25643e-017,7.7067e-016
6.2,1.30365e-017,1.12044e-016,8.63611e-017,7.88558e-016
6.4,1.13334e-017,1.03001e-016,8.04331e-017,8.05233e-016
6.6,9.8528e-018,9.46063e-017,7.47906e-017,8.2075e-016
6.8,8.56561e-018,8.68268e-017,6.94392e-017,8.35168e-016
7,7.44658e-018,7.96278e-017,6.43802e-017,8.48545e-016
7.2,6.47375e-018,7.29749e-017,5.96115e-017,8.6094e-016
7.4,5.62801e-018,6.68343e-017,5.51286e-017,8.72409e-016
7.6,4.89275e-018,6.11731e-017,5.09244e-017,8.8301e-016
7.8,4.25356e-018,5.59592e-017,4.69903e-017,8.92797e-016
8,3.69786e-018,5.11622e-017,4.33166e-017,9.01823e-016
8.2,3.21477e-018,4.67527e-017,3.98924e-017,9.1014e-016
8.4,2.79479e-018,4.27028e-017,3.67063e-017,9.17796e-016
8.6,2.42967e-018,3.89861e-017,3.37465e-017,9.24838e-016
8.8,2.11225e-018,3.55778e-017,3.10009e-017,9.31309e-016
9,1.8363e-018,3.24544e-017,2.84577e-017,9.37252e-016
9.2,1.59641e-018,2.9594e-017,2.61048e-017,9.42705e-016
9.4,1.38785e-018,2.6976e-017,2.39307e-017,9.47705e-016
9.6,1.20654e-018,2.45812e-017,2.1924e-017,9.52288e-016
9.8,1.04891e-018,2.23918e-017,2.00738e-017,9.56485e-016
10,9.11882e-019,2.03912e-017,1.83694e-017,9.60327e-016
